                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4755,                 1.4076,                 1.3612,                 0.6677,                0.71397,                0.72797,                0.42245,                  1.445,                 1.1037,                 1.3748,               0.066851,             5.3047e-06,             5.3047e-06
                      2,                 1.3701,                 1.0505,                 1.2674,                0.65953,                 0.7868,                0.75782,                 0.4524,                  1.423,                 1.0206,                 1.3253,               0.033523,             1.0217e-05,             1.0217e-05
                      3,                 1.3182,                0.91958,                 1.2327,                0.70586,                0.81818,                0.78128,                0.46611,                 1.4056,                0.94482,                 1.3125,             0.00019392,             1.4706e-05,             1.4706e-05
                      4,                 1.2665,                0.83017,                 1.2024,                0.71664,                0.79971,                0.80313,                0.48587,                 1.4048,                0.92022,                 1.2941,             1.4099e-05,             1.4099e-05,             1.4099e-05
                      5,                 1.2518,                0.81252,                 1.1946,                0.74034,                0.80252,                 0.8219,                0.49658,                 1.3892,                0.88797,                 1.2943,             1.3466e-05,             1.3466e-05,             1.3466e-05
                      6,                   1.22,                0.76966,                 1.1692,                0.73628,                0.82844,                 0.8252,                0.49971,                 1.4018,                 0.8797,                  1.297,             1.2832e-05,             1.2832e-05,             1.2832e-05
                      7,                 1.2039,                0.74344,                 1.1596,                0.74444,                0.82636,                0.82905,                0.50703,                  1.374,                0.85241,                 1.2954,             1.2198e-05,             1.2198e-05,             1.2198e-05
                      8,                 1.1897,                0.73408,                 1.1565,                0.74565,                0.83061,                0.83676,                0.50613,                 1.3956,                0.84574,                 1.3139,             1.1565e-05,             1.1565e-05,             1.1565e-05
                      9,                 1.1866,                0.70759,                 1.1546,                 0.7641,                0.79399,                0.82845,                0.50432,                 1.4035,                0.85161,                 1.3143,             1.0931e-05,             1.0931e-05,             1.0931e-05
                     10,                  1.171,                0.68992,                  1.142,                0.76169,                0.80472,                0.82716,                0.50152,                 1.3998,                0.86061,                 1.3227,             1.0298e-05,             1.0298e-05,             1.0298e-05
                     11,                 1.1681,                0.68288,                 1.1443,                0.75314,                0.82869,                0.84098,                0.51608,                 1.3911,                0.81923,                 1.3055,              9.664e-06,              9.664e-06,              9.664e-06
                     12,                 1.1469,                0.66806,                 1.1264,                 0.7594,                0.81155,                0.82818,                0.51266,                 1.3867,                 0.8546,                 1.3139,             9.0304e-06,             9.0304e-06,             9.0304e-06
                     13,                 1.1426,                0.66162,                 1.1337,                 0.7587,                0.81734,                0.83748,                0.50679,                 1.3952,                  0.843,                 1.3301,             8.3968e-06,             8.3968e-06,             8.3968e-06
                     14,                 1.1296,                0.64759,                 1.1218,                0.74116,                0.82343,                0.82538,                0.49827,                 1.3944,                0.84899,                 1.3287,             7.7632e-06,             7.7632e-06,             7.7632e-06
                     15,                 1.1178,                0.64201,                 1.1155,                0.74119,                0.84497,                0.82699,                0.50603,                 1.4063,                0.84601,                 1.3104,             7.1296e-06,             7.1296e-06,             7.1296e-06
                     16,                 1.1284,                 0.6195,                 1.1326,                0.73883,                0.80197,                0.81438,                0.48725,                 1.3936,                0.88786,                 1.3235,              6.496e-06,              6.496e-06,              6.496e-06
                     17,                 1.1035,                0.58087,                 1.1212,                0.77077,                0.79047,                0.80898,                0.49122,                 1.4043,                0.88686,                 1.3223,             5.8624e-06,             5.8624e-06,             5.8624e-06
                     18,                 1.0933,                0.56883,                  1.114,                0.76325,                0.79465,                0.80912,                0.49052,                 1.3924,                0.88059,                 1.3248,             5.2288e-06,             5.2288e-06,             5.2288e-06
                     19,                 1.0818,                 0.5565,                 1.1061,                0.78527,                0.76281,                0.80065,                0.48277,                 1.3962,                0.90964,                 1.3221,             4.5952e-06,             4.5952e-06,             4.5952e-06
                     20,                 1.0782,                0.54919,                 1.1024,                0.79187,                0.77193,                0.81766,                  0.495,                 1.3935,                0.87722,                 1.3178,             3.9616e-06,             3.9616e-06,             3.9616e-06
                     21,                 1.0722,                0.54771,                 1.1019,                0.75407,                0.81517,                 0.8171,                0.49762,                 1.3988,                 0.8758,                 1.3266,              3.328e-06,              3.328e-06,              3.328e-06
                     22,                 1.0714,                0.54458,                 1.1058,                0.77075,                0.79681,                0.81035,                 0.4914,                 1.3963,                 0.8841,                 1.3264,             2.6944e-06,             2.6944e-06,             2.6944e-06
                     23,                 1.0648,                0.54291,                 1.0968,                0.78856,                0.78364,                0.81948,                0.49849,                 1.3901,                0.87146,                 1.3174,             2.0608e-06,             2.0608e-06,             2.0608e-06
                     24,                 1.0597,                0.54015,                 1.0943,                0.78528,                0.78708,                0.81659,                0.49691,                  1.396,                0.87453,                 1.3283,             1.4272e-06,             1.4272e-06,             1.4272e-06
                     25,                 1.0587,                0.54216,                 1.0935,                0.76762,                0.79713,                0.82165,                0.50195,                 1.3911,                0.86347,                 1.3216,              7.936e-07,              7.936e-07,              7.936e-07
